SMILES,pIC50,num_atoms,logP
CN1CCN(c2cccc(Nc3nc4c(NCc5ccc(F)cc5)cccn4n3)c2)CC1,5.84,32,3.9759
CC1CCN(Cc2cccc(F)c2F)CC1N(C)c1[nH]cnc2nccc1-2,5.84,27,3.5345
Nc1[nH]nc2ccn(-c3ccccc3Cl)c(=O)c12,5.85,18,1.9494
Cc1ccnc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)c1,5.85,26,4.96672
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)C2CC(CC#N)C2)C1,5.85,26,1.48838
COc1cc(C(F)F)ccc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,5.85,40,7.20060000000001
Nc1nc2c(-c3ccncc3)cccn2n1,5.85,16,1.3735
CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C)C(=O)N5CC(C#N)C5)c4n3)cc21,5.87,36,1.97388
COc1cccc(CNc2cccn3nc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)c1,5.87,33,3.8454
CN1CCN(c2ccc(Nc3nc4c(-c5ccccc5S(C)(=O)=O)cccn4n3)cc2)CC1,5.88,33,3.2952
CN1CCN(c2cccc(Nc3nc4c(Nc5cccc(S(C)(=O)=O)c5)cccn4n3)c2)CC1,5.88,34,3.3718
NCCn1c(-c2ccc(O)cc2)nc2cc(C(N)=O)ccc21,5.89,22,1.4665
O=c1[nH]c2cnc3[nH]ccc3c2n1C1CCNCC1,5.89,19,1.1304
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCCNc2ccnc(F)c2)cc1,5.9,35,4.0626
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CCN(c3ccnc(F)c3)CC2)c1,5.9,37,4.2294
CC(C)NC(=O)c1c[nH]c2ncc(Oc3cccc(C#N)c3)nc12,5.9,24,2.76008
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CCN(c3ccnc(F)c3)C2)c1,5.91,36,3.8393
CNC(=O)c1cc(-c2ccc(OC)cc2)nc2c1[nH]c1cc(OC)ccc12,5.91,27,3.7599
Cc1ccc(Cl)cc1-c1[nH]c(-c2ccncn2)cc1C(N)=O,5.91,22,3.19942
NC1CCCCC1Nc1cc2cc[nH]c(=O)c2c(Nc2cccc3c(Cl)c[nH]c23)n1,5.91,30,4.4832
CCc1cccc(Oc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)c1,5.92,24,3.4508
COc1ccccc1Nc1nc2cccc(-c3cccc(S(C)(=O)=O)c3)n2n1,5.92,28,3.552
CN1CCC(c2cccc(Nc3nc4c(-c5ccccc5N(C)S(C)(=O)=O)cccn4n3)c2)CC1,5.92,35,4.3449
CC(C)Oc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12,5.92,41,5.43470000000001
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,5.92,35,5.1804
N#CC1CC(N(CC2CC2)C2COC2)CCC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,5.92,36,4.08858
CC1(C)C(=O)N(C2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,5.93,29,4.2375
CC(C)(C)NC(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12,5.93,29,3.9104
CN(C)C(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12,5.93,27,3.0839
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N2CC3CC(C2)O3)C1,5.94,26,0.1842
CCn1cc(Nc2nc3c(Oc4ccc(S(C)(=O)=O)cc4)cccn3n2)cn1,5.94,28,2.8851
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(C(=O)OC(C)(C)C)C4)nc12,5.94,39,6.46050000000001
Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CC(CN2CCC2)C1,5.96,26,3.0429
OCc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,5.96,25,4.2371
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,5.96,24,4.4504
CN(C)C1CCC(n2cc(C(N)=O)c(Nc3ccc(OC(F)F)nc3)n2)C(C#N)C1,5.96,30,2.51698
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)NCC2CC2)C1,5.96,24,0.7107
